time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
128.081491,-0.160000,0.095938,0.195647,nan,-23.610718,-0.452597,0.195647,1.769020,0.195647,4.608909,4.512970,0.873253,1,0.255938
128.281389,-0.250000,0.438544,0.221717,nan,2.780149,-0.612473,0.221717,3.063738,0.221717,7.059347,6.620802,0.237660,1,0.688544
128.483859,-0.300000,0.975235,0.320881,nan,9.910357,-0.266398,1.162236,2.103387,1.162236,7.972375,6.997140,0.428815,1,1.275235
128.682225,-0.320000,0.418704,0.252933,nan,-16.402351,-0.147858,-0.418466,-1.678498,-0.418466,4.834929,4.416225,1.298055,1,0.738703
128.967018,-0.360000,0.984856,0.265200,nan,-6.118252,-1.532576,-0.610466,-2.239141,-0.610466,6.142280,5.157424,0.717340,1,1.344856
129.083484,-0.640000,1.228812,0.195057,nan,-20.651791,-0.800030,0.195057,-3.805394,0.195057,3.479545,2.250733,2.414853,1,1.868812
129.285488,-0.720000,1.257746,0.149878,nan,-10.673386,0.155174,0.149878,-5.381428,0.149878,4.791784,3.534039,3.869727,1,1.977746
129.481488,-0.630000,1.228739,-0.020001,nan,8.173414,0.033336,0.087107,-3.601441,0.087107,6.099358,4.870619,0.848855,1,1.858739
129.681389,-0.460000,0.368545,0.018707,nan,37.019150,0.208724,0.018707,-3.601441,0.018707,10.468527,10.099981,6.805636,1,0.828545
129.881496,-0.280000,0.612422,-0.019305,nan,32.163345,0.676533,-1.097595,-2.695726,-1.097595,10.972129,10.359707,6.213996,1,0.892422
130.081385,-0.110000,0.379098,0.115950,nan,0.517426,1.084779,0.115950,-1.639432,0.115950,7.014682,6.635585,1.262699,1,0.489098
130.282565,-0.050000,-0.162073,0.072058,nan,20.081560,1.861513,-2.471838,-6.359740,-2.471838,10.307812,10.469885,8.339598,1,-0.112073
130.485632,-0.070000,-0.458379,0.050850,nan,33.504532,1.775377,0.050850,-5.103330,0.050850,12.066176,12.524555,5.022716,1,-0.388379
130.682161,-0.120000,0.473216,0.079851,nan,22.661280,1.722854,0.079851,-3.180163,0.079851,11.279310,10.806094,6.105301,1,0.593216
130.883788,-0.250000,-0.887127,-0.055056,nan,23.976610,1.335702,-0.176766,-0.304277,-0.176766,12.413770,13.300897,3.684087,1,-0.637127
131.081488,-0.310000,-0.995520,-0.052373,nan,15.463446,2.302400,-0.052373,-2.741073,-0.052373,11.477953,12.473473,5.328970,1,-0.685520
